accountkey|journal_entries_amount|journal_entries_type|productkey|journal_entries_creationdate|assignedbranchkey|userkey|transactionid|entryid|journal_entries_encodedkey|bookingdate|producttype|gl_account_lastmodifieddate|gl_account_usage|gl_account_glcode|gl_account_description|gl_account_type|gl_account_creationdate|gl_account_allowmanualjournalentries|gl_account_name|gl_account_encodedkey|gl_account_striptrailingzeros|gl_account_activated|gl_account_code|gl_account_currencycode
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:07:52+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20173|40192|2c9681228c44db7c018c63b84e8200fd|2023-12-13T18:07:52+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:01:04+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20164|40174|2c9683c78c44d5ed018c63b212ad00eb|2023-12-13T18:01:04+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:44:33+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20218|40285|2c9683c78c44d5ed018c6410d14f012c|2023-12-13T19:44:33+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:54:39+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20149|40147|2c9681228c44db7c018c63ac327200f6|2023-12-13T17:54:39+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:18:26+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20182|40213|2c9683c78c44d5ed018c63c1fa9c0104|2023-12-13T18:18:26+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:36:16+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20206|40258|2c9681228c44db7c018c63d24bad0125|2023-12-13T18:36:16+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:29:09+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20197|40243|2c9681228c44db7c018c63cbca6f0116|2023-12-13T18:29:09+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:24:55+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20185|40219|2c96825d8c44d0fa018c63c7e9bc012f|2023-12-13T18:24:55+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:08:03+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20176|40198|2c9681228c44db7c018c63b879be0105|2023-12-13T18:08:03+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:08:03+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20176|40201|2c9681228c44db7c018c63b879be0106|2023-12-13T18:08:03+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:29:30+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20200|40249|2c9681228c44db7c018c63cc19d2011e|2023-12-13T18:29:30+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:31:23+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20212|40273|2c96825d8c44d0fa018c6404c546013f|2023-12-13T19:31:23+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:46:53+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20221|40291|2c96825d8c44d0fa018c6412f4b50147|2023-12-13T19:46:53+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:25:04+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20188|40222|2c96825d8c44d0fa018c63c80dff0136|2023-12-13T18:25:04+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:01:37+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20167|40180|2c9683c78c44d5ed018c63b292cd00f3|2023-12-13T18:01:37+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:04:21+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20209|40267|2c9683c78c44d5ed018c63ec02430124|2023-12-13T19:04:21+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:26:57+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20191|40228|2c9683c78c44d5ed018c63c9c7b5010b|2023-12-13T18:26:57+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|10.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20152|40150|2c96825d8c44d0fa018c63ade8b5011e|2023-12-13T17:56:31+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:18:16+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20179|40204|2c9681228c44db7c018c63c1d179010d|2023-12-13T18:18:16+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20158|40162|2c96825d8c44d0fa018c63adeaaf0126|2023-12-13T17:56:31+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|10.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20155|40159|2c9683c78c44d5ed018c63ade9bc00dc|2023-12-13T17:56:31+03:00|SAVINGS|2023-03-21T21:06:07+03:00|DETAIL|200860|"Account used for registering VAT charged to customers for initiating internal transfers, domestic RTGS and IPS transfers as well as SADAD payments.

"|LIABILITY|2023-02-23T19:44:40+03:00|1|VAT Payable|2c968c6c867ed61901867f29a0250014|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:26:57+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20191|40231|2c9683c78c44d5ed018c63c9c7b5010c|2023-12-13T18:26:57+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:54:39+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20149|40144|2c9681228c44db7c018c63ac327200f5|2023-12-13T17:54:39+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
